Metric,From Scratch,Scikit-learn,Absolute Difference
MAE,2188736.3437029994,2188736.343703819,8.195638656616211e-07
MSE,8454330868239.309,8454330868276.059,36.75
RMSE,2907633.2073078454,2907633.2073141653,6.319954991340637e-06
R2,0.940637118511486,0.9406371185112279,2.581268532253489e-13
